tulajdonos	márka	típus
Kis Domonkos	Opel	Vectra
Kis Domonkos	Opel	Astra
Kis Domonkos	Fiat	126
Kis Domonkos	Fiat	Seicento
Kis Domonkos	Volkswagen	Arteon
Faragó Gergo	Opel	Vectra
Faragó Gergo	Opel	Astra
Faragó Gergo	Fiat	126
Faragó Gergo	Fiat	Seicento
Faragó Gergo	Volkswagen	Arteon
Molnár Alexander	Opel	Vectra
Molnár Alexander	Opel	Astra
Molnár Alexander	Fiat	126
Molnár Alexander	Fiat	Seicento
Molnár Alexander	Volkswagen	Arteon
Varga Bendegúz	Opel	Vectra
Varga Bendegúz	Opel	Astra
Varga Bendegúz	Fiat	126
Varga Bendegúz	Fiat	Seicento
Varga Bendegúz	Volkswagen	Arteon
Szilágyi Bertalan	Opel	Vectra
Szilágyi Bertalan	Opel	Astra
Szilágyi Bertalan	Fiat	126
Szilágyi Bertalan	Fiat	Seicento
Szilágyi Bertalan	Volkswagen	Arteon
Kerekes László	Opel	Vectra
Kerekes László	Opel	Astra
Kerekes László	Fiat	126
Kerekes László	Fiat	Seicento
Kerekes László	Volkswagen	Arteon
Péter Donát	Opel	Vectra
Péter Donát	Opel	Astra
Péter Donát	Fiat	126
Péter Donát	Fiat	Seicento
Péter Donát	Volkswagen	Arteon
Egyed Ármin	Opel	Vectra
Egyed Ármin	Opel	Astra
Egyed Ármin	Fiat	126
Egyed Ármin	Fiat	Seicento
Egyed Ármin	Volkswagen	Arteon
